epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,809.633,1.44826,0.67732,0.93076,0.91393,0.91475,0.95143,0.51974,1.46174,0.65424,0.93449,0.000494885,0.000494885,0.000494885
43,849.546,1.45363,0.67003,0.92666,0.92427,0.91573,0.96234,0.51481,1.48454,0.64788,0.94085,0.000486639,0.000486639,0.000486639
44,888.53,1.45134,0.67208,0.93286,0.92874,0.92122,0.96346,0.53587,1.45189,0.6416,0.93368,0.000478392,0.000478392,0.000478392
45,927.131,1.4395,0.66535,0.93013,0.92644,0.90537,0.96092,0.52215,1.46393,0.64716,0.93482,0.000470145,0.000470145,0.000470145
46,965.888,1.42409,0.65595,0.91801,0.91086,0.92264,0.96219,0.52966,1.44851,0.6462,0.93207,0.000461898,0.000461898,0.000461898
47,1004.69,1.46092,0.66763,0.93274,0.94323,0.88504,0.96043,0.5272,1.45526,0.64407,0.93577,0.000453652,0.000453652,0.000453652
48,1043.99,1.47661,0.66696,0.93745,0.92622,0.91097,0.95422,0.52442,1.45656,0.6476,0.93397,0.000445405,0.000445405,0.000445405
49,1083.03,1.46126,0.67067,0.93577,0.92649,0.91559,0.96256,0.52952,1.45283,0.642,0.93343,0.000437158,0.000437158,0.000437158
50,1121.87,1.44398,0.65527,0.92708,0.92216,0.91522,0.95859,0.53081,1.45231,0.64289,0.93123,0.000428912,0.000428912,0.000428912
51,1160.93,1.45466,0.65773,0.93079,0.92687,0.92897,0.9696,0.53233,1.46825,0.63171,0.93386,0.000420665,0.000420665,0.000420665
52,1199.75,1.44162,0.6554,0.93282,0.93767,0.90588,0.96011,0.51781,1.4679,0.63335,0.93578,0.000412418,0.000412418,0.000412418
53,1238.65,1.44103,0.65642,0.92728,0.91791,0.91124,0.95342,0.52694,1.45077,0.6318,0.93101,0.000404172,0.000404172,0.000404172
54,1277.82,1.45217,0.65426,0.92569,0.92756,0.93137,0.96466,0.51974,1.48697,0.63765,0.93732,0.000395925,0.000395925,0.000395925
55,1317.13,1.43092,0.63888,0.92894,0.91937,0.92023,0.95751,0.53112,1.46166,0.6431,0.93219,0.000387678,0.000387678,0.000387678
56,1356.12,1.43701,0.6423,0.92276,0.92785,0.92165,0.96115,0.52571,1.47763,0.6316,0.93444,0.000379431,0.000379431,0.000379431
57,1395.04,1.4189,0.62885,0.9191,0.92193,0.94523,0.96687,0.5348,1.44609,0.61481,0.93126,0.000371185,0.000371185,0.000371185
58,1434.03,1.42449,0.63875,0.92427,0.94824,0.92001,0.96552,0.51985,1.48433,0.62949,0.93607,0.000362938,0.000362938,0.000362938
59,1473.04,1.42572,0.63629,0.92434,0.92105,0.9368,0.96849,0.53532,1.4385,0.61434,0.92732,0.000354691,0.000354691,0.000354691
60,1512.03,1.42947,0.63699,0.91793,0.94054,0.93098,0.97157,0.53672,1.45422,0.61508,0.93117,0.000346445,0.000346445,0.000346445
61,1550.97,1.4178,0.63021,0.92235,0.94274,0.93044,0.96827,0.53314,1.44786,0.61704,0.93089,0.000338198,0.000338198,0.000338198
62,1589.93,1.42866,0.63482,0.9202,0.93225,0.93447,0.97014,0.53631,1.4441,0.61332,0.93019,0.000329951,0.000329951,0.000329951
63,1628.46,1.41255,0.62939,0.91557,0.93675,0.93582,0.97117,0.53868,1.43752,0.61255,0.9274,0.000321705,0.000321705,0.000321705
64,1667.02,1.425,0.62677,0.92487,0.94348,0.92325,0.97022,0.5308,1.46856,0.60913,0.93261,0.000313458,0.000313458,0.000313458
65,1705.51,1.41574,0.61661,0.92974,0.94299,0.94574,0.97403,0.54029,1.43267,0.60338,0.92631,0.000305211,0.000305211,0.000305211
66,1744.07,1.39796,0.61679,0.91147,0.93586,0.93675,0.96624,0.5336,1.46193,0.61676,0.93218,0.000296964,0.000296964,0.000296964
67,1782.49,1.40311,0.61617,0.91678,0.95692,0.92894,0.97264,0.54138,1.43061,0.60016,0.9259,0.000288718,0.000288718,0.000288718
68,1821.21,1.39232,0.61311,0.91768,0.95768,0.9321,0.9735,0.54301,1.43586,0.60001,0.92582,0.000280471,0.000280471,0.000280471
69,1859.65,1.40432,0.60945,0.91262,0.94749,0.9351,0.97051,0.54457,1.44102,0.59903,0.92736,0.000272224,0.000272224,0.000272224
70,1898.13,1.41304,0.6165,0.92441,0.94197,0.9253,0.96608,0.53722,1.4432,0.60613,0.92795,0.000263978,0.000263978,0.000263978
71,1936.79,1.39596,0.60578,0.9156,0.93108,0.94684,0.9685,0.54436,1.43613,0.60943,0.92684,0.000255731,0.000255731,0.000255731
72,1975.33,1.38766,0.60763,0.91315,0.95158,0.93382,0.97223,0.5351,1.44697,0.5986,0.92786,0.000247484,0.000247484,0.000247484
73,2014.04,1.38993,0.60856,0.91725,0.9339,0.93839,0.96791,0.53924,1.44858,0.59496,0.92873,0.000239238,0.000239238,0.000239238
74,2052.61,1.39079,0.60422,0.9158,0.93624,0.94977,0.96802,0.53671,1.43561,0.60108,0.92678,0.000230991,0.000230991,0.000230991
75,2091.1,1.38676,0.59604,0.9162,0.94809,0.91465,0.96167,0.51431,1.49573,0.60809,0.93888,0.000222744,0.000222744,0.000222744
76,2129.78,1.38404,0.60202,0.91407,0.94675,0.92932,0.9656,0.53242,1.44808,0.59982,0.92863,0.000214497,0.000214497,0.000214497
77,2168.1,1.38057,0.5958,0.91785,0.9439,0.94615,0.96673,0.54109,1.43634,0.59768,0.92715,0.000206251,0.000206251,0.000206251
78,2206.84,1.38232,0.59208,0.91868,0.94278,0.93861,0.96567,0.5357,1.44375,0.60166,0.9276,0.000198004,0.000198004,0.000198004
79,2245.28,1.37508,0.59503,0.91599,0.94547,0.93843,0.96661,0.54398,1.43566,0.59498,0.92571,0.000189757,0.000189757,0.000189757
80,2283.79,1.37581,0.59586,0.91487,0.91984,0.94814,0.96161,0.5379,1.4389,0.60764,0.92688,0.000181511,0.000181511,0.000181511
81,2322.06,1.3761,0.59387,0.91626,0.93614,0.93652,0.96476,0.53544,1.44426,0.59569,0.92782,0.000173264,0.000173264,0.000173264
82,2360.66,1.37526,0.58618,0.91513,0.94432,0.93842,0.9657,0.54675,1.43438,0.59046,0.92579,0.000165017,0.000165017,0.000165017
83,2399.09,1.37002,0.58692,0.91544,0.94515,0.94106,0.96772,0.54368,1.43003,0.59376,0.9259,0.000156771,0.000156771,0.000156771
84,2437.56,1.37369,0.58621,0.91394,0.93468,0.94551,0.96442,0.53661,1.43621,0.59463,0.92589,0.000148524,0.000148524,0.000148524
85,2475.95,1.34247,0.57513,0.90616,0.95119,0.937,0.96701,0.53987,1.44531,0.58774,0.92787,0.000140277,0.000140277,0.000140277
86,2514.29,1.37099,0.58298,0.91528,0.9318,0.95692,0.96709,0.53842,1.43579,0.58929,0.92612,0.000132031,0.000132031,0.000132031
87,2553.04,1.36004,0.58412,0.9067,0.93804,0.94591,0.96933,0.5402,1.44232,0.58641,0.92783,0.000123784,0.000123784,0.000123784
88,2591.34,1.34233,0.57256,0.90633,0.93654,0.94754,0.96794,0.54082,1.43143,0.58493,0.92516,0.000115537,0.000115537,0.000115537
89,2629.69,1.34783,0.57618,0.90898,0.94623,0.94803,0.96758,0.54334,1.43525,0.58754,0.92505,0.00010729,0.00010729,0.00010729
90,2668.01,1.33327,0.59232,0.9025,0.94481,0.94839,0.96817,0.54561,1.42815,0.58572,0.92518,9.90437e-05,9.90437e-05,9.90437e-05
91,2702.21,1.32603,0.5307,0.93651,0.93606,0.94511,0.96744,0.54115,1.43418,0.58592,0.92496,9.0797e-05,9.0797e-05,9.0797e-05
92,2736.6,1.31839,0.52632,0.93708,0.9408,0.94403,0.96852,0.54104,1.43277,0.58354,0.92635,8.25503e-05,8.25503e-05,8.25503e-05
93,2770.64,1.31744,0.52179,0.9406,0.95142,0.94535,0.97152,0.54186,1.43196,0.58434,0.92491,7.43036e-05,7.43036e-05,7.43036e-05
94,2804.71,1.31247,0.51816,0.9352,0.94862,0.94724,0.96963,0.54065,1.43061,0.58174,0.92377,6.60569e-05,6.60569e-05,6.60569e-05
95,2838.78,1.29842,0.516,0.9383,0.93961,0.95256,0.96899,0.54151,1.43473,0.58305,0.92523,5.78102e-05,5.78102e-05,5.78102e-05
96,2872.83,1.30839,0.5222,0.93899,0.94591,0.94578,0.96992,0.53769,1.43749,0.58017,0.92569,4.95635e-05,4.95635e-05,4.95635e-05
97,2907.34,1.30333,0.51496,0.93114,0.94891,0.94661,0.97017,0.5372,1.43895,0.57839,0.92583,4.13168e-05,4.13168e-05,4.13168e-05
98,2941.38,1.29077,0.51079,0.93117,0.94695,0.95077,0.97084,0.54074,1.43567,0.57621,0.92544,3.30701e-05,3.30701e-05,3.30701e-05
99,2975.49,1.30013,0.51392,0.93602,0.94848,0.94341,0.97026,0.54364,1.43488,0.5759,0.92522,2.48234e-05,2.48234e-05,2.48234e-05
100,3009.56,1.28744,0.51506,0.92702,0.9347,0.95698,0.9693,0.53974,1.43857,0.57682,0.9256,1.65767e-05,1.65767e-05,1.65767e-05
